UBIGEO,DEPARTAMENTO,NOMBPROV,POBLACION,POBREZA_INF,POBREZA_SUP,POBREZA_MID
220600,SAN MARTÍN,MARISCAL CÁCERES,73193,18.86,29.68,24.27
120400,JUNÍN,JAUJA,88405,20.26,27.66,23.96
100900,HUÁNUCO,PUERTO INCA,36987,17.58,29.71,23.64
150900,LIMA,OYÓN,17137,18.18,28.52,23.35
211100,PUNO,SAN ROMÁN,344030,18.82,27.4,23.11
200100,PIURA,PIURA,894847,19.3,26.73,23.01
120700,JUNÍN,TARMA,91849,18.75,26.81,22.78
200500,PIURA,PAITA,148289,15.29,29.72,22.51
130200,LA LIBERTAD,ASCOPE,123480,19.68,24.88,22.28
160100,LORETO,MAYNAS,550551,20.45,23.94,22.19
010100,AMAZONAS,CHACHAPOYAS,63188,19.7,24.35,22.02
220400,SAN MARTÍN,HUALLAGA,30097,16.08,27.88,21.98
200600,PIURA,SULLANA,341490,16.57,27.3,21.94
220100,SAN MARTÍN,MOYOBAMBA,133631,18.44,25.17,21.8
040600,AREQUIPA,CONDESUYOS,16426,17.11,25.22,21.16
100100,HUÁNUCO,HUÁNUCO,315799,18.92,23.28,21.1
221000,SAN MARTÍN,TOCACHE,76450,15.83,25.35,20.59
180200,MOQUEGUA,GENERAL SÁNCHEZ CERRO,14503,17.21,23.82,20.51
120900,JUNÍN,CHUPACA,57604,15.73,24.93,20.33
020800,ÁNCASH,CASMA,57256,14.7,22.37,18.54
040400,AREQUIPA,CASTILLA,34743,15.15,21.83,18.49
100600,HUÁNUCO,LEONCIO PRADO,138275,14.44,20.13,17.28
040500,AREQUIPA,CAYLLOMA,97458,14.35,20.02,17.18
070100,CALLAO,CALLAO,1129854,14.94,18.84,16.89
150700,LIMA,HUAROCHIRI,62381,13.25,18.46,15.86
200700,PIURA,TALARA,154268,9.8,21.5,15.65
220900,SAN MARTÍN,SAN MARTÍN,218074,13.34,17.34,15.34
021100,ÁNCASH,HUARMEY,33066,9.85,20.3,15.07
021800,ÁNCASH,SANTA,474053,13.1,16.44,14.77
230100,TACNA,TACNA,346192,12.56,16.72,14.64
130100,LA LIBERTAD,TRUJILLO,1118724,12.96,16.09,14.53
020100,ÁNCASH,HUARAZ,185276,12.41,16.62,14.51
150500,LIMA,CAÑETE,250420,12.25,16.32,14.28
150400,LIMA,CANTA,11593,9.93,17.64,13.78
150800,LIMA,HUAURA,240717,11.49,15.63,13.56
150100,LIMA,LIMA,9674755,12.38,14.13,13.26
040200,AREQUIPA,CAMANA,61708,9.67,16.25,12.96
120100,JUNÍN,HUANCAYO,595183,11.17,14.42,12.8
120800,JUNÍN,YAULI,40041,9.85,15.71,12.78
