Datetime,COMED_MW,FE_MW,DEOK_MW,PJMW_MW
2012-01-01,9874.826086956522,6572.521739130435,2629.913043478261,4910.695652173913
2012-01-02,11217.833333333334,7533.041666666667,3179.875,5857.791666666667
2012-01-03,12487.833333333334,8889.125,3503.375,6965.708333333333
2012-01-04,12119.541666666666,8903.041666666666,3470.5416666666665,7296.583333333333
2012-01-05,11694.0,8425.541666666666,3210.125,6425.333333333333
2012-01-06,11097.083333333334,7880.833333333333,2978.4166666666665,5837.375
2012-01-07,10237.458333333334,7018.25,2701.0833333333335,5174.75
2012-01-08,10038.375,6913.333333333333,2766.9166666666665,5349.75
2012-01-09,11520.125,8092.25,3010.6666666666665,6216.375
2012-01-10,11341.708333333334,8116.416666666667,3039.1666666666665,6099.333333333333
2012-01-11,11225.083333333334,8187.416666666667,3070.1666666666665,6329.875
2012-01-12,11906.75,8124.833333333333,3165.25,5778.416666666667
2012-01-13,12505.125,8946.583333333334,3756.8333333333335,6612.625
2012-01-14,11546.458333333334,8159.125,3318.7083333333335,6516.833333333333
2012-01-15,10969.166666666666,7660.0,3155.0833333333335,6340.5
2012-01-16,11643.291666666666,8411.25,3249.75,6759.25
2012-01-17,12054.791666666666,8119.625,2995.0,5946.5
2012-01-18,12655.416666666666,8710.458333333334,3321.5416666666665,6320.333333333333
2012-01-19,12867.875,9062.083333333334,3447.7083333333335,6864.25
2012-01-20,13250.916666666666,9025.458333333334,3622.5416666666665,6716.375
2012-01-21,11651.833333333334,8102.625,3400.9583333333335,6351.166666666667
2012-01-22,11147.208333333334,7613.291666666667,3171.375,6120.041666666667
2012-01-23,11948.375,8067.833333333333,3031.5416666666665,6184.666666666667
2012-01-24,12041.458333333334,8562.041666666666,3253.25,5846.375
2012-01-25,12116.708333333334,8523.75,3349.125,5989.291666666667
2012-01-26,11872.291666666666,8419.916666666666,3206.0,5992.583333333333
2012-01-27,11433.75,8206.708333333334,3193.125,5679.583333333333
2012-01-28,10768.625,7673.916666666667,2959.5,5594.666666666667
2012-01-29,10527.458333333334,7453.583333333333,2986.9166666666665,5674.25
2012-01-30,11745.416666666666,8515.666666666666,3175.8333333333335,6214.791666666667
2012-01-31,11138.208333333334,7898.75,2938.9166666666665,5658.375
2012-02-01,11136.375,7650.375,2830.75,5282.541666666667
2012-02-02,11331.166666666666,8088.5,2866.5,5605.083333333333
2012-02-03,11390.458333333334,7900.666666666667,2982.5416666666665,5784.666666666667
2012-02-04,10394.708333333334,7290.083333333333,2834.2916666666665,5759.25
2012-02-05,9858.041666666666,6891.791666666667,2721.4583333333335,5460.916666666667
2012-02-06,11645.416666666666,7953.458333333333,3091.75,6064.125
2012-02-07,11979.791666666666,8366.625,3216.5,5950.5
2012-02-08,11863.041666666666,8482.833333333334,3271.4166666666665,6354.791666666667
2012-02-09,11977.625,8451.5,3292.4166666666665,6269.458333333333
2012-02-10,12103.083333333334,8400.333333333334,3299.4583333333335,6238.958333333333
2012-02-11,11810.791666666666,8063.583333333333,3331.4166666666665,6171.666666666667
2012-02-12,10953.125,7863.958333333333,3251.2083333333335,6656.583333333333
2012-02-13,12144.791666666666,8567.958333333334,3401.9583333333335,6580.958333333333
2012-02-14,11973.25,8430.25,3313.7083333333335,6103.916666666667
2012-02-15,11632.833333333334,8224.75,3117.9166666666665,5855.916666666667
2012-02-16,11320.541666666666,8130.291666666667,3045.9166666666665,5939.375
2012-02-17,11282.75,7927.083333333333,3002.0416666666665,5599.875
2012-02-18,10285.458333333334,7258.166666666667,2829.7916666666665,5407.666666666667
2012-02-19,9938.708333333334,7176.333333333333,2935.5416666666665,5428.125
2012-02-20,11250.833333333334,8112.416666666667,3199.5833333333335,5984.75
2012-02-21,11586.25,8310.583333333334,3102.1666666666665,6126.958333333333
2012-02-22,11377.125,7848.5,2930.5416666666665,5481.041666666667
2012-02-23,11592.75,8005.041666666667,2936.4583333333335,5266.041666666667
2012-02-24,11692.75,8000.666666666667,3035.125,5426.541666666667
2012-02-25,10885.958333333334,7672.083333333333,3050.625,5772.916666666667
2012-02-26,10164.958333333334,7105.25,2910.4583333333335,5490.541666666667
2012-02-27,11335.208333333334,7882.416666666667,2930.4583333333335,5742.25
2012-02-28,11649.833333333334,8102.625,2966.5833333333335,5618.166666666667
2012-02-29,11122.875,7953.375,2820.2083333333335,5756.25
2012-03-01,11414.708333333334,7995.041666666667,2837.5416666666665,5453.666666666667
2012-03-02,11433.583333333334,7923.708333333333,2914.5416666666665,5660.166666666667
2012-03-03,10704.333333333334,7387.25,2800.0416666666665,5009.791666666667
2012-03-04,10139.208333333334,7221.75,2909.4583333333335,5361.75
2012-03-05,11516.333333333334,8378.75,3213.125,6267.583333333333
2012-03-06,11107.708333333334,8321.666666666666,3085.7916666666665,6153.458333333333
2012-03-07,10635.5,7610.083333333333,2797.875,5469.583333333333
2012-03-08,10758.833333333334,7618.75,2818.25,5080.333333333333
2012-03-09,11120.291666666666,7871.958333333333,2916.8333333333335,5355.708333333333
2012-03-10,10023.5,7051.458333333333,2736.2083333333335,5313.75
2012-03-11,9054.91304347826,6288.391304347826,2560.6521739130435,4920.739130434783
2012-03-12,10339.291666666666,7256.625,2730.8333333333335,5129.75
2012-03-13,10352.083333333334,7210.416666666667,2706.5416666666665,4911.666666666667
2012-03-14,10631.666666666666,7284.125,2718.2916666666665,4875.458333333333
2012-03-15,10956.291666666666,7176.75,2775.5,4861.916666666667
2012-03-16,10616.291666666666,7103.625,2686.4583333333335,4692.791666666667
2012-03-17,9761.0,6346.25,2477.0,4286.125
2012-03-18,9325.375,6031.208333333333,2445.25,4089.4583333333335
2012-03-19,10916.5,7203.333333333333,2878.375,4760.666666666667
2012-03-20,11460.708333333334,7536.125,2978.25,4861.166666666667
2012-03-21,11839.416666666666,7659.291666666667,3069.0,4867.416666666667
2012-03-22,11628.958333333334,7611.416666666667,3075.25,4960.25
2012-03-23,10707.166666666666,7355.583333333333,2808.375,4861.875
2012-03-24,9186.875,6381.208333333333,2385.5833333333335,4331.5
2012-03-25,8662.833333333334,5973.125,2299.625,4147.583333333333
2012-03-26,10179.25,7232.833333333333,2593.6666666666665,4813.208333333333
2012-03-27,10463.75,7615.458333333333,2709.25,5360.5
2012-03-28,10202.041666666666,7286.041666666667,2714.2083333333335,5068.875
2012-03-29,10144.625,7279.458333333333,2656.9166666666665,4842.166666666667
2012-03-30,10269.958333333334,7337.125,2676.125,5039.416666666667
2012-03-31,9440.416666666666,6767.375,2408.25,4622.375
2012-04-01,8772.666666666666,6284.833333333333,2404.0416666666665,3018.0416666666665
2012-04-02,10049.25,7280.291666666667,2611.4583333333335,4657.083333333333
2012-04-03,10211.666666666666,7414.5,2748.875,4940.75
2012-04-04,10165.833333333334,7194.916666666667,2744.7083333333335,4858.25
2012-04-05,10274.125,7287.708333333333,2587.5,4838.458333333333
2012-04-06,9725.375,6651.125,2517.0,4765.291666666667
2012-04-07,8944.333333333334,6179.625,2366.9166666666665,4496.25
2012-04-08,8249.541666666666,5771.25,2200.2916666666665,4191.666666666667
2012-04-09,9865.416666666666,7030.25,2556.2916666666665,4852.583333333333
2012-04-10,10437.0,7632.666666666667,2657.625,5087.416666666667
2012-04-11,10553.0,7700.416666666667,2815.7916666666665,5418.5
2012-04-12,10448.333333333334,7463.666666666667,2788.0833333333335,5264.25
2012-04-13,10241.333333333334,7265.875,2689.125,4963.166666666667
2012-04-14,9257.375,6584.166666666667,2473.9166666666665,4424.25
2012-04-15,9000.833333333334,6073.708333333333,2421.875,4261.291666666667
2012-04-16,10147.875,7259.625,2778.7916666666665,5103.625
2012-04-17,10220.791666666666,7147.166666666667,2645.0833333333335,4835.416666666667
2012-04-18,10442.666666666666,7288.916666666667,2678.7916666666665,4813.291666666667
2012-04-19,10269.25,7206.25,2722.125,4869.666666666667
2012-04-20,10410.625,7152.708333333333,2666.875,4744.625
2012-04-21,9280.416666666666,6501.875,2409.0833333333335,4277.083333333333
2012-04-22,8774.5,6388.583333333333,2448.875,4428.75
2012-04-23,10212.166666666666,7464.458333333333,2707.4166666666665,5466.208333333333
2012-04-24,10277.375,7452.916666666667,2709.5416666666665,5053.791666666667
2012-04-25,10289.5,7276.333333333333,2710.2916666666665,5081.708333333333
2012-04-26,10162.958333333334,7331.208333333333,2713.375,4876.708333333333
2012-04-27,10286.125,7291.25,2621.1666666666665,4851.708333333333
2012-04-28,9430.708333333334,6781.0,2510.2916666666665,4783.416666666667
2012-04-29,8799.875,6216.916666666667,2416.0833333333335,4432.333333333333
2012-04-30,10191.875,7229.916666666667,2820.4166666666665,4932.541666666667
2012-05-01,10264.708333333334,7304.833333333333,2893.75,4998.0
2012-05-02,10778.416666666666,7754.208333333333,3180.4166666666665,5161.625
2012-05-03,12154.0,8571.666666666666,3416.4166666666665,5485.583333333333
2012-05-04,11376.125,8166.25,3211.375,5330.666666666667
2012-05-05,9112.75,6588.375,2839.0,4710.416666666667
2012-05-06,8760.041666666666,6063.291666666667,2813.9166666666665,4475.916666666667
2012-05-07,10208.708333333334,7353.541666666667,3254.25,5110.375
2012-05-08,10431.5,7443.333333333333,2963.4166666666665,5027.833333333333
2012-05-09,10164.5,7272.916666666667,2754.0,4880.75
2012-05-10,10291.083333333334,7159.416666666667,2668.7083333333335,4765.875
2012-05-11,10450.958333333334,7221.041666666667,2658.3333333333335,4774.166666666667
2012-05-12,9190.0,6324.458333333333,2465.7916666666665,4328.625
2012-05-13,8463.5,5948.458333333333,2418.6666666666665,4230.958333333333
2012-05-14,10393.458333333334,7292.708333333333,2791.375,4839.0
2012-05-15,11289.666666666666,7598.333333333333,2919.0833333333335,4997.333333333333
2012-05-16,10471.041666666666,7277.125,2968.625,5095.166666666667
2012-05-17,10474.041666666666,7181.708333333333,2763.1666666666665,4889.416666666667
2012-05-18,10917.125,7264.291666666667,2798.0416666666665,4834.25
2012-05-19,11292.958333333334,6760.083333333333,2824.9166666666665,4553.708333333333
2012-05-20,11973.583333333334,6955.375,3005.4583333333335,4654.041666666667
